
"0:0:56:100
0:0:56:466
"一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。”這句話出自於
海明威的老人與海。這句話是這本書的精苹,值得人深入思考。上
“一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。”這句話出自於
海明威的老人與海。這句話這本書的精苹,值得人深入思考。。
0:0:56:833
0:0:57:199
“一個人並不是天生就要被打敗的,你盡可以肖滅他,卻打不敗他。”這句話出自於
海明威的老人與海。這句話是這本書的精苹,值得人深入思考。。
“一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。“這句話出自於
海明威的老人與海。這句話是這本書的精苹,值得人深入思考。。
"bounds: (59,11),(1122,11),(1122,390),(59,390)
"0:0:56:100"bounds: (101,11),(234,12),(234,27),(101,26)
"0:0:56:466"bounds: (701,12),(835,12),(835,25),(701,25)
"""bounds: (59,36),(73,36),(73,50),(59,50)
"一個"bounds: (75,36),(100,36),(100,50),(75,50)
"人"bounds: (102,36),(113,36),(113,50),(102,50)
"並不是"bounds: (115,36),(153,36),(153,50),(115,50)
"天生"bounds: (155,36),(180,36),(180,50),(155,50)
"就要"bounds: (182,36),(208,36),(208,50),(182,50)
"被"bounds: (210,36),(220,36),(220,50),(210,50)
"打敗"bounds: (222,36),(245,36),(245,50),(222,50)
"的"bounds: (247,36),(255,36),(255,50),(247,50)
","bounds: (257,36),(260,36),(260,50),(257,50)
"你"bounds: (262,36),(273,36),(273,50),(262,50)
"盡"bounds: (275,36),(290,36),(290,50),(275,50)
"可以"bounds: (292,36),(315,36),(315,50),(292,50)
"消滅"bounds: (317,36),(338,36),(338,50),(317,50)
"他"bounds: (340,36),(353,36),(353,50),(340,50)
","bounds: (355,36),(358,36),(358,50),(355,50)
"卻"bounds: (360,36),(373,36),(373,50),(360,50)
"打"bounds: (375,36),(383,36),(383,50),(375,50)
"不敗"bounds: (385,36),(413,36),(413,50),(385,50)
"他"bounds: (415,36),(425,36),(425,50),(415,50)
"。"bounds: (427,36),(433,36),(433,50),(427,50)
"”"bounds: (435,36),(443,36),(443,50),(435,50)
"這"bounds: (445,36),(460,36),(460,50),(445,50)
"句話"bounds: (462,36),(483,36),(483,50),(462,50)
"出自"bounds: (485,36),(510,36),(510,50),(485,50)
"於"bounds: (512,36),(520,36),(520,50),(512,50)
"海明威"bounds: (66,49),(108,49),(108,64),(66,64)
"的"bounds: (110,49),(119,49),(119,64),(110,64)
"老人與海"bounds: (121,54),(172,54),(172,63),(121,63)
"。"bounds: (177,57),(180,57),(180,60),(177,60)
"這"bounds: (182,49),(204,49),(204,64),(182,64)
"句話"bounds: (206,49),(228,49),(228,64),(206,64)
"是"bounds: (227,54),(238,54),(238,63),(227,63)
"這"bounds: (240,49),(255,49),(255,64),(240,64)
"本書"bounds: (257,49),(282,49),(282,64),(257,64)
"的"bounds: (284,49),(292,49),(292,64),(284,64)
"精"bounds: (294,49),(308,49),(308,64),(294,64)
"苹"bounds: (310,49),(322,49),(322,64),(310,64)
","bounds: (324,49),(324,49),(324,64),(324,64)
"值得"bounds: (326,49),(348,49),(348,64),(326,64)
"人"bounds: (350,49),(359,49),(359,64),(350,64)
"深入"bounds: (363,54),(388,54),(388,63),(363,63)
"思考"bounds: (390,54),(414,54),(414,63),(390,63)
"。"bounds: (420,57),(422,57),(422,60),(420,60)
"上"bounds: (428,53),(434,53),(434,64),(428,64)
"“"bounds: (659,35),(674,35),(674,49),(659,49)
"一個"bounds: (676,35),(699,35),(699,49),(676,49)
"人"bounds: (701,35),(712,35),(712,49),(701,49)
"並不是"bounds: (714,35),(752,35),(752,49),(714,49)
"天生"bounds: (754,35),(779,35),(779,49),(754,49)
"就要"bounds: (781,35),(807,35),(807,49),(781,49)
"被"bounds: (809,35),(819,35),(819,49),(809,49)
"打敗"bounds: (821,35),(844,35),(844,49),(821,49)
"的"bounds: (846,35),(857,35),(857,49),(846,49)
","bounds: (859,35),(862,35),(862,49),(859,49)
"你"bounds: (864,35),(874,35),(874,49),(864,49)
"盡"bounds: (876,35),(892,35),(892,49),(876,49)
"可以"bounds: (894,35),(914,35),(914,49),(894,49)
"消滅"bounds: (916,35),(937,35),(937,49),(916,49)
"他"bounds: (939,35),(954,35),(954,49),(939,49)
","bounds: (956,35),(959,35),(959,49),(956,49)
"卻"bounds: (961,35),(972,35),(972,49),(961,49)
"打"bounds: (974,35),(984,35),(984,49),(974,49)
"不敗"bounds: (986,35),(1012,35),(1012,49),(986,49)
"他"bounds: (1014,35),(1027,35),(1027,49),(1014,49)
"。"bounds: (1029,35),(1032,35),(1032,49),(1029,49)
"”"bounds: (1034,35),(1044,35),(1044,49),(1034,49)
"這"bounds: (1046,35),(1059,35),(1059,49),(1046,49)
"句話"bounds: (1061,35),(1084,35),(1084,49),(1061,49)
"出自"bounds: (1086,35),(1112,35),(1112,49),(1086,49)
"於"bounds: (1114,35),(1122,35),(1122,49),(1114,49)
"海明威"bounds: (664,51),(708,51),(708,64),(664,64)
"的"bounds: (710,51),(718,51),(718,64),(710,64)
"老人與海"bounds: (720,51),(781,51),(781,64),(720,64)
"。"bounds: (783,51),(783,51),(783,64),(783,64)
"這"bounds: (785,51),(802,51),(802,64),(785,64)
"句話"bounds: (804,51),(827,51),(827,64),(804,64)
"這"bounds: (829,51),(853,51),(853,64),(829,64)
"本書"bounds: (855,51),(881,51),(881,64),(855,64)
"的"bounds: (883,51),(890,51),(890,64),(883,64)
"精"bounds: (892,51),(907,51),(907,64),(892,64)
"苹"bounds: (909,51),(916,51),(916,64),(909,64)
","bounds: (918,51),(921,51),(921,64),(918,64)
"值得"bounds: (923,51),(949,51),(949,64),(923,64)
